2025-08-08T22:43:59.4151505Z Container start method called.
2025-08-08T22:43:59.4718303Z Establishing network.
2025-08-08T22:43:59.4727665Z Pulling image: appsvc/python:3.11_20250723.2.tuxprod.
2025-08-08T22:45:49.9409839Z Image appsvc/python:3.11_20250723.2.tuxprod is pulled from registry 10.1.0.4:13209
2025-08-08T22:45:49.9511893Z Container is starting.
2025-08-08T22:45:49.9600526Z Establishing user namespace if not established already.
2025-08-08T22:45:49.9702017Z Establishing network if not established already.
2025-08-08T22:45:49.9790574Z Mounting volumes.
2025-08-08T22:45:49.9883550Z Nested mountpoint 
2025-08-08T22:45:50.0188076Z Nested mountpoint volatile/logs
2025-08-08T22:45:50.0298982Z Nested mountpoint 
2025-08-08T22:45:50.2351703Z Nested mountpoint 
2025-08-08T22:45:50.2751178Z Nested mountpoint 
2025-08-08T22:45:51.9240385Z Creating container.
2025-08-08T22:45:51.9380186Z Creating pipes for streaming container io.
2025-08-08T22:45:51.9483420Z Creating stdout named pipe at /podr/container/pipe/24b190aba07a_newsroom-ai/stdout_8ee73469c4f84bf4984e3b719dc409bb.
2025-08-08T22:45:51.9505905Z Successfully created stdout named pipe at: /podr/container/pipe/24b190aba07a_newsroom-ai/stdout_8ee73469c4f84bf4984e3b719dc409bb.
2025-08-08T22:45:51.9513195Z Opening named pipe /podr/container/pipe/24b190aba07a_newsroom-ai/stdout_8ee73469c4f84bf4984e3b719dc409bb for reading in non-blocking mode.
2025-08-08T22:45:51.9592491Z Successfully opened named pipe: /podr/container/pipe/24b190aba07a_newsroom-ai/stdout_8ee73469c4f84bf4984e3b719dc409bb.
2025-08-08T22:45:51.9599322Z Successfully removed non-blocking flag from /podr/container/pipe/24b190aba07a_newsroom-ai/stdout_8ee73469c4f84bf4984e3b719dc409bb.
2025-08-08T22:45:51.9687798Z Creating stderr named pipe at /podr/container/pipe/24b190aba07a_newsroom-ai/stderr_d142cf29f2e74d4490da017aeacd05c0.
2025-08-08T22:45:51.9795997Z Successfully created stderr named pipe at: /podr/container/pipe/24b190aba07a_newsroom-ai/stderr_d142cf29f2e74d4490da017aeacd05c0.
2025-08-08T22:45:51.9879578Z Opening named pipe /podr/container/pipe/24b190aba07a_newsroom-ai/stderr_d142cf29f2e74d4490da017aeacd05c0 for reading in non-blocking mode.
2025-08-08T22:45:51.9897988Z Successfully opened named pipe: /podr/container/pipe/24b190aba07a_newsroom-ai/stderr_d142cf29f2e74d4490da017aeacd05c0.
2025-08-08T22:45:51.9968631Z Successfully removed non-blocking flag from /podr/container/pipe/24b190aba07a_newsroom-ai/stderr_d142cf29f2e74d4490da017aeacd05c0.
2025-08-08T22:45:51.9986373Z Creating container with image: appsvc/python:3.11_20250723.2.tuxprod from registry: 10.1.0.4:13209 and fully qualified image name: 10.1.0.4:13209/appsvc/python:3.11_20250723.2.tuxprod
2025-08-08T22:45:53.0952431Z Starting container: 24b190aba07a_newsroom-ai.
2025-08-08T22:45:53.2132139Z Starting watchers and probes.
2025-08-08T22:45:53.2630242Z Starting metrics collection.
2025-08-08T22:45:53.2829738Z Container is running.
2025-08-08T22:45:54.2309858Z Container start method finished after 114815 ms.
2025-08-08T22:46:27.0967384Z Container has finished running with exit code: 1.
2025-08-08T22:46:27.1274307Z Container is terminating. Grace period: 5 seconds.
2025-08-08T22:46:27.1928354Z Stop and delete container. Retry count = 0
2025-08-08T22:46:27.1953335Z Stopping container: 24b190aba07a_newsroom-ai.
2025-08-08T22:46:27.4090582Z Deleting container: 24b190aba07a_newsroom-ai. Retry count = 0
2025-08-08T22:46:29.0135333Z Container spec TerminationMessagePolicy  path 
2025-08-08T22:46:44.155Z INFO  - 1025e0b47ade Waiting
2025-08-08T22:46:44.188Z INFO  - f66774ae7759 Pulling fs layer
2025-08-08T22:46:44.189Z INFO  - 9d3e177659ba Pulling fs layer
2025-08-08T22:46:44.190Z INFO  - 72b150d989ff Pulling fs layer
2025-08-08T22:46:44.190Z INFO  - 3a8890c16ee1 Pulling fs layer
2025-08-08T22:46:44.197Z INFO  - b4f74be282a8 Pulling fs layer
2025-08-08T22:46:44.198Z INFO  - 54c588595ccb Pulling fs layer
2025-08-08T22:46:44.198Z INFO  - aa5881a808a7 Pulling fs layer
2025-08-08T22:46:44.198Z INFO  - 0d10948fb54a Pulling fs layer
2025-08-08T22:46:44.198Z INFO  - cce10504149a Pulling fs layer
2025-08-08T22:46:44.198Z INFO  - 81ac14b1e143 Pulling fs layer
2025-08-08T22:46:44.198Z INFO  - 5d89654d990c Pulling fs layer
2025-08-08T22:46:44.198Z INFO  - b2884c533f11 Pulling fs layer
2025-08-08T22:46:44.198Z INFO  - 52653cff8975 Pulling fs layer
2025-08-08T22:46:44.198Z INFO  - 46283f458752 Pulling fs layer
2025-08-08T22:46:44.198Z INFO  - 18bdf1202246 Pulling fs layer
2025-08-08T22:46:44.198Z INFO  - f9cf866730ad Pulling fs layer
2025-08-08T22:46:44.198Z INFO  - f66774ae7759 Waiting
2025-08-08T22:46:44.199Z INFO  - 9d3e177659ba Waiting
2025-08-08T22:46:44.199Z INFO  - 72b150d989ff Waiting
2025-08-08T22:46:44.199Z INFO  - 3a8890c16ee1 Waiting
2025-08-08T22:46:44.199Z INFO  - b4f74be282a8 Waiting
2025-08-08T22:46:44.199Z INFO  - 54c588595ccb Waiting
2025-08-08T22:46:44.199Z INFO  - aa5881a808a7 Waiting
2025-08-08T22:46:44.199Z INFO  - 0d10948fb54a Waiting
2025-08-08T22:46:44.200Z INFO  - cce10504149a Waiting
2025-08-08T22:46:44.200Z INFO  - 81ac14b1e143 Waiting
2025-08-08T22:46:44.200Z INFO  - b2884c533f11 Waiting
2025-08-08T22:46:44.200Z INFO  - 52653cff8975 Waiting
2025-08-08T22:46:44.200Z INFO  - 46283f458752 Waiting
2025-08-08T22:46:44.200Z INFO  - 18bdf1202246 Waiting
2025-08-08T22:46:44.200Z INFO  - f9cf866730ad Waiting
2025-08-08T22:46:44.209Z INFO  - 5d89654d990c Waiting
2025-08-08T22:46:44.248Z INFO  - 7b7e7c24cd01 Pulling fs layer
2025-08-08T22:46:44.249Z INFO  - b2e6613866c5 Pulling fs layer
2025-08-08T22:46:44.267Z INFO  - 7b7e7c24cd01 Waiting
2025-08-08T22:46:44.267Z INFO  - b2e6613866c5 Waiting
2025-08-08T22:46:44.316Z INFO  - 43b3f19a5f7b Downloading 3KB / 10KB
2025-08-08T22:46:44.316Z INFO  - 8229bfef2880 Downloading 35KB / 1MB
2025-08-08T22:46:44.316Z INFO  - c56fb4a3b0da Downloading 35KB / 1MB
2025-08-08T22:46:44.316Z INFO  - 220c52d5c00f Downloading 3KB / 10KB
2025-08-08T22:46:44.316Z INFO  - edafa92cab42 Downloading 1KB / 1KB
2025-08-08T22:46:44.317Z INFO  - c8c26152a642 Downloading 387B / 387B
2025-08-08T22:46:44.317Z INFO  - 78ee667486be Downloading 499B / 499B
2025-08-08T22:46:44.317Z INFO  - d15bc914a9c3 Downloading 2KB / 2KB
2025-08-08T22:46:44.317Z INFO  - 1c6a5ee9f4e9 Downloading 528B / 528B
2025-08-08T22:46:44.317Z INFO  - 5e03e1f8cc28 Downloading 2KB / 2KB
2025-08-08T22:46:44.317Z INFO  - e8b550749e66 Downloading 527B / 527B
2025-08-08T22:46:44.317Z INFO  - 4f4fb700ef54 Downloading 32B / 32B
2025-08-08T22:46:44.317Z INFO  - dbf7ae5d9c63 Downloading 39KB / 39KB
2025-08-08T22:46:44.317Z INFO  - 43b3f19a5f7b Downloading 10KB / 10KB
2025-08-08T22:46:44.317Z INFO  - 7a953f5c3c0b Downloading 14KB / 14KB
2025-08-08T22:46:44.470Z INFO  - 220c52d5c00f Downloading 10KB / 10KB
2025-08-08T22:46:44.609Z INFO  - 21afad33996d Downloading 14KB / 14KB
2025-08-08T22:46:44.627Z INFO  - edafa92cab42 Verifying Checksum
2025-08-08T22:46:44.627Z INFO  - edafa92cab42 Download complete
2025-08-08T22:46:44.627Z INFO  - c8c26152a642 Verifying Checksum
2025-08-08T22:46:44.627Z INFO  - c8c26152a642 Download complete
2025-08-08T22:46:44.627Z INFO  - 78ee667486be Verifying Checksum
2025-08-08T22:46:44.627Z INFO  - 78ee667486be Download complete
2025-08-08T22:46:44.628Z INFO  - d15bc914a9c3 Verifying Checksum
2025-08-08T22:46:44.628Z INFO  - d15bc914a9c3 Download complete
2025-08-08T22:46:44.628Z INFO  - 1c6a5ee9f4e9 Verifying Checksum
2025-08-08T22:46:44.628Z INFO  - 1c6a5ee9f4e9 Download complete
2025-08-08T22:46:44.628Z INFO  - 5e03e1f8cc28 Verifying Checksum
2025-08-08T22:46:44.628Z INFO  - 5e03e1f8cc28 Download complete
2025-08-08T22:46:44.628Z INFO  - e8b550749e66 Verifying Checksum
2025-08-08T22:46:44.629Z INFO  - e8b550749e66 Download complete
2025-08-08T22:46:44.629Z INFO  - 4f4fb700ef54 Verifying Checksum
2025-08-08T22:46:44.629Z INFO  - 4f4fb700ef54 Download complete
2025-08-08T22:46:44.629Z INFO  - dbf7ae5d9c63 Verifying Checksum
2025-08-08T22:46:44.629Z INFO  - dbf7ae5d9c63 Download complete
2025-08-08T22:46:44.629Z INFO  - 43b3f19a5f7b Verifying Checksum
2025-08-08T22:46:44.629Z INFO  - 43b3f19a5f7b Download complete
2025-08-08T22:46:44.629Z INFO  - 7a953f5c3c0b Verifying Checksum
2025-08-08T22:46:44.629Z INFO  - 7a953f5c3c0b Download complete
2025-08-08T22:46:44.629Z INFO  - 220c52d5c00f Verifying Checksum
2025-08-08T22:46:44.629Z INFO  - 220c52d5c00f Download complete
2025-08-08T22:46:44.629Z INFO  - 21afad33996d Verifying Checksum
2025-08-08T22:46:44.629Z INFO  - 21afad33996d Download complete
2025-08-08T22:46:44.629Z INFO  - 8229bfef2880 Downloading 227KB / 1MB
2025-08-08T22:46:44.629Z INFO  - 2d765646d883 Downloading 515KB / 51MB
2025-08-08T22:46:44.629Z INFO  - a829e5e6c9f1 Downloading 39KB / 39KB
2025-08-08T22:46:44.630Z INFO  - a829e5e6c9f1 Verifying Checksum
2025-08-08T22:46:44.630Z INFO  - a829e5e6c9f1 Download complete
2025-08-08T22:46:44.630Z INFO  - a83dfeaf7e13 Downloading 536KB / 56MB
2025-08-08T22:46:44.684Z INFO  - ab9b3215ece1 Downloading 1MB / 28MB
2025-08-08T22:46:44.821Z INFO  - d33500780c7d Downloading 513KB / 111MB
2025-08-08T22:46:45.452Z INFO  - 0a83b955bad1 Downloading 3KB / 4KB
2025-08-08T22:46:45.453Z INFO  - f66774ae7759 Downloading 833B / 833B
2025-08-08T22:46:45.454Z INFO  - a44dc634b318 Downloading 1KB / 1KB
2025-08-08T22:46:45.454Z INFO  - 8229bfef2880 Verifying Checksum
2025-08-08T22:46:45.481Z INFO  - 8229bfef2880 Download complete
2025-08-08T22:46:45.481Z INFO  - 0a83b955bad1 Downloading 4KB / 4KB
2025-08-08T22:46:45.481Z INFO  - f66774ae7759 Verifying Checksum
2025-08-08T22:46:45.481Z INFO  - f66774ae7759 Download complete
2025-08-08T22:46:45.481Z INFO  - a44dc634b318 Verifying Checksum
2025-08-08T22:46:45.481Z INFO  - a44dc634b318 Download complete
2025-08-08T22:46:45.481Z INFO  - 0a83b955bad1 Verifying Checksum
2025-08-08T22:46:45.481Z INFO  - 0a83b955bad1 Download complete
2025-08-08T22:46:45.481Z INFO  - 2d765646d883 Downloading 2MB / 51MB
2025-08-08T22:46:45.482Z INFO  - c56fb4a3b0da Downloading 989KB / 1MB
2025-08-08T22:46:45.482Z INFO  - d33500780c7d Downloading 1MB / 111MB
2025-08-08T22:46:45.482Z INFO  - 5102baefcdc8 Downloading 270B / 270B
2025-08-08T22:46:45.482Z INFO  - 9d3e177659ba Downloading 124B / 124B
2025-08-08T22:46:45.482Z INFO  - 27073c19c451 Downloading 1KB / 1KB
2025-08-08T22:46:45.482Z INFO  - 1025e0b47ade Downloading 270B / 270B
2025-08-08T22:46:45.635Z INFO  - bf0fdaeeb3f7 Downloading 133B / 133B
2025-08-08T22:46:45.805Z INFO  - c56fb4a3b0da Verifying Checksum
2025-08-08T22:46:45.807Z INFO  - c56fb4a3b0da Download complete
2025-08-08T22:46:45.807Z INFO  - 13527115d99f Downloading 3KB / 3KB
2025-08-08T22:46:45.836Z INFO  - 5102baefcdc8 Verifying Checksum
2025-08-08T22:46:45.836Z INFO  - 5102baefcdc8 Download complete
2025-08-08T22:46:45.837Z INFO  - 9d3e177659ba Verifying Checksum
2025-08-08T22:46:45.837Z INFO  - 9d3e177659ba Download complete
2025-08-08T22:46:45.837Z INFO  - 27073c19c451 Verifying Checksum
2025-08-08T22:46:45.837Z INFO  - 27073c19c451 Download complete
2025-08-08T22:46:45.837Z INFO  - 1025e0b47ade Verifying Checksum
2025-08-08T22:46:45.837Z INFO  - 1025e0b47ade Download complete
2025-08-08T22:46:45.837Z INFO  - bf0fdaeeb3f7 Verifying Checksum
2025-08-08T22:46:45.837Z INFO  - bf0fdaeeb3f7 Download complete
2025-08-08T22:46:45.837Z INFO  - 13527115d99f Verifying Checksum
2025-08-08T22:46:45.837Z INFO  - 13527115d99f Download complete
2025-08-08T22:46:45.837Z INFO  - d75c6794473c Downloading 285KB / 5MB
2025-08-08T22:46:45.837Z INFO  - a83dfeaf7e13 Downloading 1MB / 56MB
2025-08-08T22:46:45.837Z INFO  - ab9b3215ece1 Downloading 1MB / 28MB
2025-08-08T22:46:45.837Z INFO  - 72b150d989ff Downloading 417B / 417B
2025-08-08T22:46:45.837Z INFO  - 72b150d989ff Verifying Checksum
2025-08-08T22:46:45.837Z INFO  - 72b150d989ff Download complete
2025-08-08T22:46:45.837Z INFO  - b049d305a6a1 Downloading 535KB / 67MB
2025-08-08T22:46:45.837Z INFO  - d33500780c7d Downloading 2MB / 111MB
2025-08-08T22:46:45.838Z INFO  - aa5881a808a7 Downloading 121B / 121B
2025-08-08T22:46:45.838Z INFO  - 3a8890c16ee1 Downloading 1KB / 1KB
2025-08-08T22:46:45.838Z INFO  - b4f74be282a8 Downloading 1KB / 1KB
2025-08-08T22:46:45.838Z INFO  - 54c588595ccb Downloading 2KB / 2KB
2025-08-08T22:46:45.838Z INFO  - aa5881a808a7 Verifying Checksum
2025-08-08T22:46:45.838Z INFO  - aa5881a808a7 Download complete
2025-08-08T22:46:45.838Z INFO  - 3a8890c16ee1 Verifying Checksum
2025-08-08T22:46:45.838Z INFO  - 3a8890c16ee1 Download complete
2025-08-08T22:46:45.838Z INFO  - b4f74be282a8 Verifying Checksum
2025-08-08T22:46:45.838Z INFO  - b4f74be282a8 Download complete
2025-08-08T22:46:45.838Z INFO  - 54c588595ccb Verifying Checksum
2025-08-08T22:46:45.838Z INFO  - 54c588595ccb Download complete
2025-08-08T22:46:45.838Z INFO  - 038c2b53fe5f Downloading 708KB / 32MB
2025-08-08T22:46:45.838Z INFO  - 2d765646d883 Downloading 3MB / 51MB
2025-08-08T22:46:45.838Z INFO  - d33500780c7d Downloading 3MB / 111MB
2025-08-08T22:46:45.838Z INFO  - ae62b20f0e06 Downloading 777KB / 36MB
2025-08-08T22:46:45.838Z INFO  - 52653cff8975 Downloading 2KB / 2KB
2025-08-08T22:46:45.838Z INFO  - cce10504149a Downloading 1KB / 1KB
2025-08-08T22:46:45.838Z INFO  - 5d89654d990c Downloading 842B / 842B
2025-08-08T22:46:45.838Z INFO  - b2884c533f11 Downloading 137B / 137B
2025-08-08T22:46:45.838Z INFO  - 81ac14b1e143 Downloading 356B / 356B
2025-08-08T22:46:45.838Z INFO  - 46283f458752 Downloading 144B / 144B
2025-08-08T22:46:45.845Z INFO  - 0d10948fb54a Downloading 1KB / 1KB
2025-08-08T22:46:45.845Z INFO  - 18bdf1202246 Downloading 3KB / 11KB
2025-08-08T22:46:45.845Z INFO  - 52653cff8975 Verifying Checksum
2025-08-08T22:46:45.846Z INFO  - 52653cff8975 Download complete
2025-08-08T22:46:45.846Z INFO  - cce10504149a Verifying Checksum
2025-08-08T22:46:45.846Z INFO  - cce10504149a Download complete
2025-08-08T22:46:45.846Z INFO  - 5d89654d990c Verifying Checksum
2025-08-08T22:46:45.846Z INFO  - 5d89654d990c Download complete
2025-08-08T22:46:45.846Z INFO  - b2884c533f11 Verifying Checksum
2025-08-08T22:46:45.846Z INFO  - b2884c533f11 Download complete
2025-08-08T22:46:45.846Z INFO  - 18bdf1202246 Downloading 11KB / 11KB
2025-08-08T22:46:45.846Z INFO  - 81ac14b1e143 Verifying Checksum
2025-08-08T22:46:45.846Z INFO  - 81ac14b1e143 Download complete
2025-08-08T22:46:45.846Z INFO  - 46283f458752 Verifying Checksum
2025-08-08T22:46:45.846Z INFO  - 46283f458752 Download complete
2025-08-08T22:46:45.954Z INFO  - 0d10948fb54a Verifying Checksum
2025-08-08T22:46:45.955Z INFO  - 0d10948fb54a Download complete
2025-08-08T22:46:45.972Z INFO  - 18bdf1202246 Verifying Checksum
2025-08-08T22:46:45.972Z INFO  - 18bdf1202246 Download complete
2025-08-08T22:46:45.972Z INFO  - 038c2b53fe5f Downloading 1MB / 32MB
2025-08-08T22:46:46.110Z INFO  - a83dfeaf7e13 Downloading 3MB / 56MB
2025-08-08T22:46:46.145Z INFO  - b049d305a6a1 Downloading 1MB / 67MB
2025-08-08T22:46:46.146Z INFO  - ab9b3215ece1 Downloading 3MB / 28MB
2025-08-08T22:46:46.146Z INFO  - d33500780c7d Downloading 4MB / 111MB
2025-08-08T22:46:46.468Z INFO  - b2e6613866c5 Downloading 1KB / 1KB
2025-08-08T22:46:46.469Z INFO  - 7b7e7c24cd01 Downloading 16KB / 16KB
2025-08-08T22:46:46.470Z INFO  - b2e6613866c5 Verifying Checksum
2025-08-08T22:46:46.478Z INFO  - b2e6613866c5 Download complete
2025-08-08T22:46:46.478Z INFO  - 7b7e7c24cd01 Verifying Checksum
2025-08-08T22:46:46.478Z INFO  - 7b7e7c24cd01 Download complete
2025-08-08T22:46:46.498Z INFO  - 2d765646d883 Downloading 5MB / 51MB
2025-08-08T22:46:46.499Z INFO  - a83dfeaf7e13 Downloading 4MB / 56MB
2025-08-08T22:46:46.500Z INFO  - ab9b3215ece1 Downloading 4MB / 28MB
2025-08-08T22:46:46.500Z INFO  - d75c6794473c Downloading 3MB / 5MB
2025-08-08T22:46:46.536Z INFO  - 038c2b53fe5f Downloading 2MB / 32MB
2025-08-08T22:46:46.536Z INFO  - f9cf866730ad Downloading 342KB / 5MB
2025-08-08T22:46:46.539Z INFO  - ab9b3215ece1 Downloading 5MB / 28MB
2025-08-08T22:46:46.693Z INFO  - d33500780c7d Downloading 5MB / 111MB
2025-08-08T22:46:46.920Z INFO  - ae62b20f0e06 Downloading 3MB / 36MB
2025-08-08T22:46:46.978Z INFO  - d75c6794473c Downloading 4MB / 5MB
2025-08-08T22:46:46.978Z INFO  - 038c2b53fe5f Downloading 4MB / 32MB
2025-08-08T22:46:46.978Z INFO  - f9cf866730ad Downloading 854KB / 5MB
2025-08-08T22:46:47.019Z INFO  - 038c2b53fe5f Downloading 5MB / 32MB
2025-08-08T22:46:47.036Z INFO  - ae62b20f0e06 Downloading 4MB / 36MB
2025-08-08T22:46:47.087Z INFO  - a83dfeaf7e13 Downloading 6MB / 56MB
2025-08-08T22:46:47.144Z INFO  - b049d305a6a1 Downloading 5MB / 67MB
2025-08-08T22:46:47.144Z INFO  - d75c6794473c Downloading 5MB / 5MB
2025-08-08T22:46:47.144Z INFO  - f9cf866730ad Downloading 1MB / 5MB
2025-08-08T22:46:47.144Z INFO  - 2d765646d883 Downloading 6MB / 51MB
2025-08-08T22:46:47.144Z INFO  - ab9b3215ece1 Downloading 6MB / 28MB
2025-08-08T22:46:47.144Z INFO  - d33500780c7d Downloading 7MB / 111MB
2025-08-08T22:46:47.144Z INFO  - d75c6794473c Verifying Checksum
2025-08-08T22:46:47.144Z INFO  - d75c6794473c Download complete
2025-08-08T22:46:47.322Z INFO  - ab9b3215ece1 Downloading 7MB / 28MB
2025-08-08T22:46:47.360Z INFO  - b049d305a6a1 Downloading 6MB / 67MB
2025-08-08T22:46:47.360Z INFO  - f9cf866730ad Downloading 3MB / 5MB
2025-08-08T22:46:47.379Z INFO  - 2d765646d883 Downloading 7MB / 51MB
2025-08-08T22:46:47.505Z INFO  - 038c2b53fe5f Downloading 7MB / 32MB
2025-08-08T22:46:47.505Z INFO  - ae62b20f0e06 Downloading 5MB / 36MB
2025-08-08T22:46:47.505Z INFO  - f9cf866730ad Downloading 4MB / 5MB
